選奨年度,選奨年NO,対象構造物,読み,受賞理由,都道府県,市町村,都道府県2,市町村2,竣工年,北緯,東経,行った回数,行った日,プレートの有無,施設1,所在地1,竣工年1,施設2,所在地2,竣工年2,施設3,所在地3,竣工年3,施設4,所在地4,竣工年4,施設5,所在地5,竣工年5,施設6,所在地6,竣工年6,施設7,所在地7,竣工年7,施設8,所在地8,竣工年8,施設9,所在地9,竣工年9,施設10,所在地10,竣工年10,施設11,所在地11,竣工年11,施設12,所在地12,竣工年12,施設13,所在地13,竣工年13,施設14,所在地14,竣工年14,施設15,所在地15,竣工年15
2008,17,両橋,りょうはし,支間の大アーチが印象的で、拱腔部の小さな連続アーチ、そして高欄にもアーチが組み合わされた姿が意匠に優れた、山陰街道の名橋である。,京都府,京都府/福知山市,,,昭和13年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,18,今福線のコンクリートアーチ橋群,いまふくせんのこんくりーとあーちきょうぐん,未完成に終わった鉄道のコンクリートアーチ橋が一群として現存し、山間の景観に溶け込みながら、悲運な歴史を伝えている。,島根県,島根県/浜田市,,,昭和12年着工、昭和15 年中止,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,19,三石の煉瓦拱渠群,みついしのれんがこうきょぐん,技術的にも意匠的にもすばらしい煉瓦拱渠が、連続して現存し、山陽本線という幹線でありながら原形を保ったまま使用されている。,岡山県,岡山県/備前市,,,明治23～24 年（下り線）、明治44 年（上り線）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,20,旭浄水場の一連の歴史的施設群,あさひじょうすいじょうのいちれんのれきしてきしせつぐん,ルネッサンス様式のレンガ造りの送水所や事務所棟、計量所などが集約した形で残されている、全国的にも貴重な水道施設群,高知県,高知県/高知市,,,大正14年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,21,若津港導流堤（筑後川デ・レーケ堤）,わかつこうどうりゅうてい（ちくごがわで・れーけてい） ,有明海のガタ土堆積を防ぎ航路確保を行うために作られ、完成から100年以上経った現在もその役割を果たしている壮大な石導流,福岡県,福岡県/大川市・柳川市,佐賀県/佐賀市,佐賀県/佐賀市,明治23年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,22,有明海旧干拓施設,ありあけかいきゅうかんたくしせつ,有明海旧干拓施設(末広・明丑・明豊・大豊開旧堤防）は，明治時代の潮受堤防(約5km)と樋門が現存し，干拓の歴史的経緯を示す貴重な遺産,熊本県,熊本県/玉名市大浜町,玉名市横島町,玉名市横島町,（末広）明治２８年、（明丑）明治２６年、（明豊）明治２８年、（大豊）明治２８年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,23,大島海峡(旧)軍事施設群,おおしまかいきょう（きゅう）ぐんじしせつぐん,弾薬庫，震洋艇格納壕，戦闘指揮所などが大島海峡沿いに点在している。手安にある弾薬庫は規模や構造の特異さに目を張る。,鹿児島県,鹿児島県/大島郡瀬戸内町,,,昭和16年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,1,第三雨竜川橋梁,だいさんうりゅうがわきょうりょう,道内初の吊足場式架設工法の採用と輸入鋼材鈑桁の転用など、経済性と工期短縮を考慮した昭和初期の地方鉄道線建設を伝える橋梁。,北海道,北海道/ 雨竜郡幌加内町字政和,,,昭和6年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,2,狩勝信号場跡,かりかちしんごうじょうあと,北海道東西連絡の要衝狩勝峠に設置された、スイッチバック方式の信号場跡。築堤、レンガ・石造アーチ橋などが残り往時を語る。,北海道,北海道/ 上川郡新得町・南富良野町,,,明治40年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,3,小樽港斜路式ケーソン製作ヤード,おたるこうしゃろしきけーそんせいさくやーど,滑り台方式でケーソンを進水させた世界初の施設であり、ケーソン技術の適応範囲を広げ、わが国近代港湾の発展に貢献した,北海道,北海道/ 小樽市,,,明治45年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,4,奥州街道の一里塚群,おうしゅうがいどうのいちりづかぐん,奥州街道の一里塚群は東北地方における近世以降の交通の礎となり、国内産業並びに地域の交流や文化の向上発展を支えた貴重な遺産,岩手県,盛岡市,青森県,十和田市,慶長9年以降,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,5,山形の石橋群,やまがたのいしばしぐん,明治期の山形の石橋群は、九州の石橋建造技術を地元の石工等が習得し広めていった貴重な土木遺産。,山形県,上山市　,山形県,南陽市,,,,,,,新橋,上山市,明治１３年,覗橋,上山市,明治１５年,堅磐橋,上山市,明治１１年,中山橋,上山市,明治１１年,吉田橋,南陽市,明治１３年,蛇ヶ橋（別名：小巌橋）,南陽市,明治１４年,康寿橋,南陽市,明治末期か年代不詳,舞鶴橋,米沢市,明治１５年,幸橋,高畠町,明治１２年,幾代橋,村山市,明治２２年,太鼓橋,南陽市,明治期か年代不詳,,,,,,,,,,,,
2009,6,奥多摩橋,おくたまばし,本橋梁は、戦前の道路用鋼アーチ橋として最大スパンであり、アーチライズの大きい、非常に優美な橋梁である。,東京都,東京都/ 青梅市,,,昭和14年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,7,汐止橋,しおどめばし,本橋梁は、石積み上路アーチ橋で、特徴は各切石がアーチに向かい斜めに積まれている。また、地元の保田石を使用した歴史ある橋である。,千葉県,千葉県/ 安房郡鋸南町,,,明治28年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,8,小坪隧道・名越隧道,こつぼずいどう・なごえずいどう,明治１６年地元の有志により掘られて以来、大正年間の拡幅・煉瓦巻を経て現在に至る。優美な意匠の坑門がその歴史の重さを伝える,神奈川県,神奈川県/ 逗子市・鎌倉市,,,大正年間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,9,旧須花隧道,きゅうすばなずいどう,素掘り・煉瓦造・RC造と構造の異なる3本の隧道が並存し希少性に富み、且つ地域開発への先人の熱い思いを今に伝えている。,栃木県,栃木県/ 佐野市、足利市,,,初代(素掘り)明治22年、2代目(煉瓦造)大正6年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,10,剣崎浄水場,けんざきじょうすいじょう,剣崎浄水場は明治４３年に建設された施設で、砂ろ過と生物ろ過を組み合わせた緩速ろ過方式を採用する貴重な施設である。,群馬県,群馬県/ 高崎市,,,明治43年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,11,霞ヶ浦湖岸施設（元鹿島海軍航空跡）,かすみがうらこがんしせつ（もとかしまかいぐんこうくうあと）,当旧海軍施設は、７０年の歳月を経た現在でも治水施設として機能を発揮しており、当時の土木技術水準の高さが伺えるため。,茨城県,茨城県/ 稲敷郡美浦村,,,昭和12年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,12,七ヶ用水　大水門および給水口,しちかようすい　だいすいもんおよびきゅうすいこう,デ・レーケの指導の下で建設された高い石柱を持つ大水門と煉瓦巻きアーチの給水口であり、加賀平野を潤す七ヶ用水の要衝を担う。,石川県,石川県/白山市,,,明治36年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,13,北勢線のねじり橋とめがね橋,ほくせいせんのねじりばしとめがねばし,供用中の数少ないコンクリートブロックアーチ橋であり、美しい曲線美を描き当時の技術水準の高さを示す貴重な構造物である。,三重県,三重県/いなべ市,,,大正5年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,14,柳河原発電所　跡曳水路橋,やながわらはつでんじょ　あとひきすいろきょう,RCアーチとして当時最大スパンの橋梁であり、水路を支える柱頂部の連続シャローアーチは当時の技術水準の高さを感じさせる。水路用の上路RCアーチ橋である。,富山県,富山県/黒部市,,,昭和2年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,15,平木橋,ひらきばし,二重配置の輪石、煉瓦壁石造の水路橋で拱矢比1/5の優美な造形に加えて、全国的に希有な英文扁額をもつ貴重な施設である。,兵庫県,兵庫県/加古川市,,,大正4年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,16,鎧えん堤,よろいえんてい,瀬田川砂防初期の歴史的な砂防堰堤であり、石積みも階段状の珍しい積み方で造形的にも美しく、現在でも現役の砂防堰堤である。,滋賀県,滋賀県/大津市,,,明治22年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,17,本町橋,ほんまちばし,橋脚に施されたエンタシスの石柱を模した飾りや上部のバルコニーなどの意匠に富む大阪市内で最古の橋である。,大阪府,大阪府/大阪市,,,大正2年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,18,角島灯台および関連施設群,つのしまとうだいおよびかんれんしせつぐん,ブラントンの手がけた日本海側初の灯台。装飾的な石肌の灯台、コロニアル様式の退息所および倉庫が一群として現存している。,山口県,山口県/下関市,,,明治8年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,19,旧三高山砲台,きゅうみたかやまほうだい,現存する最大級の呉（広島湾）要塞の砲台施設。砲台山森林公園として整備されており、保存状態も良好で学習の場となっている。,広島県,広島県/江田島市,,,明治34年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,20,旧呉鎮守府兵器部護岸および関連施設,きゅうくれちんじゅふへいきぶごがんおよびかんれんしせつ,整然と積まれた花崗岩の護岸、巧みに加工された石階段、クレーン等、旧呉鎮守府兵器部の施設が保存され、公園化されている。,広島県,広島県/呉市,,,明治20年代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,21,木頭出原谷の鉄砲堰,きとういずはらだにのてっぽうぜき,練り石積みのアテ堰。中央部を一気に破堤させることで木材を押し流していた。 木組みの一時的なものが多く石積みは珍しい。,徳島県,徳島県/那賀郡,,,昭和15-16年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,22,矢岳第一トンネル,やたけだいいちとんねる,含水量の多い凝灰岩からの激しい湧水に見舞われながらも、当時最大の難所を克服した先人の偉業を物語る貴重な構造物である。,宮崎県,宮崎県/えびの市,,,明治42年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,23,大渡の用之助港,おおどのようのすけこう,斎藤用之助により漁業振興のために計画された港口の掘削事業。珊瑚礁に囲まれた沖縄ならではの土木遺産として価値が高い。,沖縄県,沖縄県/糸満市,,,明治40年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,24,小ヶ倉（水道）堰堤,こがくら（すいどう）えんてい,中島鋭治による設計で、当時、日本で最も高い水道専用ダム。瀬戸内産の御影石を張った重厚な壁体は遺産として価値が高い。,長崎県,長崎県/長崎市,,,大正15年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,25,烏山頭水庫,うさんとうすいこ,八田與一氏の設計と施工監理による当時のアジア最大のダムである。灌漑により嘉南平野を一大穀倉地帯に変貌させる貢献をした。,台湾,台湾/台南県官田郷,,,昭和5年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1,創成橋,そうせいばし,札幌のまちづくりの礎となった市内最古の石造橋。その歴史と技術を後世に継承すべく、往時の姿で復元した貴重な土木遺産である。,北海道,札幌市中央区南１条西1丁目,,,明治43年（平成22年復元改修）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2,舞鶴橋,まいづるばし,千歳川流域の治水と開発を象徴し田園風景に映える円形アーチが地元で愛され移設保存となった戦前の希少なランガーガーダー橋である。,北海道,北海道／夕張郡長沼町,,,昭和11年（平成７年現位置移設）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,3,留萌港南防波堤,るもいこうみなみぼうはてい,激浪による稀有の難工事と堤体の移動や改修の歴史を示しながら、港湾と都市を守り続ける初期の重力式ケーソン構造の外洋防波堤である。,北海道,北海道／留萌市大町１丁目地先,,,昭和4年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,4,西根堰,にしねせき,近世初頭の農業土木技術の系譜を残し、地元住民の情熱に支えられ、現在地域学習に利活用されている貴重な農業土木施設群である。,福島県,福島市、伊達郡桑折町、伊達郡国見町,,,西根下堰　元和4年、西根上堰　寛永9年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,5,仙台市煉瓦下水道,せんだいしれんがげすいどう,全国初の多くの先端的取り組みを実施し、大地震に耐え、映画撮影等に利活用されるなど、完成後110年経てもなお現役の貴重な煉瓦下水道施設群である。,宮城県,宮城県／仙台市青葉区,,,卵形レンガ下水渠　：明治33年、馬蹄形レンガ下水渠及び矩形レンガ下水渠　：明治33年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,6,権現堂川用水樋管群,ごんげんどうがわようすいひかんぐん,権現堂川用水新圦(しんいり)は煉瓦造り樋管で保存状態が良い。巡礼樋管は高欄に装飾が施されており、取り付く堤防は桜の名所である。,埼玉県,埼玉県／幸手市,,,明治38年,,,,,,権現堂川用水新圦,幸手市,明治38年,巡礼樋管,幸手市,昭和8年,同取付堤防,幸手市,昭和8年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,7,新永間市街線高架橋,しんえいかんしがいせんこうかきょう,建設後100年を経て、なお、現役の高架橋として活用されているだけでなく、煉瓦アーチ式の高架橋として景観的にも優れている。,東京都,東京都／千代田区～港区,,,明治43年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,8,鬼怒橋,きぬばし,煉瓦円形ウェルと切石積み橋脚の上に15連の曲弦トラスが連続する景観は壮麗であり、当時の技術力と美意識が感受される。,栃木県,栃木県／宇都宮市,,,昭和6年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,9,千葉分場1号配水池,ちばぶんじょういちごうはいすいち,県営水道創設当時から市内の配水を担う貴重な施設である。構造は、今では珍しい鉄筋コンクリート製の梁・柱式円形配水池である。,千葉県,千葉県／千葉市中央区,,,昭和12年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,10,大手橋,おおてばし,藩政時代の様式を継承しつつ鉄筋コンクリート造りの橋として架け替えられたもので，水戸城址通りの拠点として親しまれている。,茨城県,茨城県／水戸市,,,昭和10年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,11,央橋,なかばし,旧棚倉街道の里川に架かり、当時としては画期的な造形美を誇り、山紫水明の地に美しく映えるアーチのローゼ橋である。,茨城県,茨城県／常陸太田市,,,昭和12年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,雄川堰,おがわぜき,雄川堰は嘉永19年（1642年）、小幡城下に住む住民の飲料水と生活用水を確保するために建設された玉石構造（空積）の用水路で、古き歴史を今日に残している貴重な土木遺産である。,群馬県,群馬県／甘楽郡,,,寛永19年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,13,相模野基線,さがみのきせん,明治15年、地形図全国整備計画に基づき設置された相模野基線は、全国5万分の１地形図完成に至る我が国近代測量の発祥地である。,神奈川県,座間市,,,明治15年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,14,堀割川,ほりわりがわ,明治初期に開削され、大岡川から分流された掘割川は横浜市の水運、治水対策等に大きな役割を果たし、長大な石積護岸は当時の面影を残す。,神奈川県,横浜市磯子区、南区,,,昭和初期（3年頃）に改修,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,15,六見橋,むつみばし,鉄道（高山線）の開通後の昭和6年に鉄橋として架け替えられた六見橋は，近代温泉街下呂を実質的かつ象徴的に牽引した橋である。,岐阜県,岐阜県／下呂市,,,昭和6年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,16,松重閘門,まつしげこうもん,松重閘門は堀川と中川運河を連絡する通船路にあり，近代名古屋の産業発展過程を示す重要なランドマークとなっている。,愛知県,愛知県／名古屋市中川区,,,昭和5年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,17,清水灯台,しみずとうだい,清水灯台は明治４５年に点灯した国内最初の鉄筋コンクリート構造の灯台である。,静岡県,静岡県／静岡市清水区,,,明治45年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,18,三栖閘門,みすこうもん,大阪と京都を結ぶ重要な輸送手段であった舟運を確保し、経済・文化の発展に大きく寄与した。,京都府,京都府／京都市伏見区,,,昭和4年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,19,宇治発電所,うじはつでんしょ,大正初期に全長約11kmの導水路とともに建設された、国内最大規模の発電量を誇る電力飛躍時代の水路式水力発電施設である。,京都府,京都府／宇治市,,,大正2年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,20,鐘ヶ坂隧道,かねがさかずいどう,鐘が坂峠にあるわが国最古（明治16年）のレンガ積み道路トンネルであり、地元の人々の寄付をもとに築造され地域振興に役立てられた。,兵庫県,兵庫県／丹波市,,,明治16年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,21,室戸台風の災害復旧橋梁群,むろとたいふうのさいがいふっきゅうきょうりょうぐん,昭和9年の室戸台風による災害復旧橋梁が次々と架け替えられる中、様々な形式の鋼橋が高梁川に一群として残っている。,岡山県,新見市、高梁市,,,井倉橋　　昭和11年,,,,,,井倉橋,新見市,昭和11年,田井橋,高梁市,昭和12年,方谷橋,高梁市,昭和11年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,22,菊港の東堤・西堤,きくみなとのひがしてい・にしてい,日本海側に現存する数少ない江戸期の石造防波堤で、波浪に耐えながら地域の発展に寄与し、地元民に親しまれている。,鳥取県,鳥取県／東伯郡琴浦町,,,江戸時代中期,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,23,明治橋,めいじばし,宇和島市に抜ける重要路線の一部として作られた鉄筋コンクリートの下路式アーチ橋。全国的に見ても珍しく、現役最古である。,愛媛県,愛媛県／八幡浜市,,,昭和5年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,24,蛤水道,はまぐりすいどう,蛤岳からの水を佐賀藩側に導水するため成冨兵庫茂安が築造した1260ｍの水路、「のこし」のアイディアが画期的であった。,佐賀県,佐賀県／吉野ヶ里町,,,元和年間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,25,川原隧道と石畳,かわばるずいどうといしだたみ,江戸後期の日田往還道として掘られ、掘削の内部空間は、工夫された石積み構造で防護されている。,大分県,大分県／日田町,,,嘉永7年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,26,第三五ヶ瀬川橋梁,だいさんごかせがわきょうりょう,旧高千穂鉄道の橋梁。鋼トラスおよび戦前唯一のＲＣ方杖ラーメンが複合した形式は印象的で美しく、土木遺産としての価値が高い。,宮崎県,宮崎県／西臼杵郡,,,昭和14年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,27,台南水道,たいなんすいどう,浜野弥四郎氏の計画・設計と施工監理による，当時の最新技術である急速濾過法を採用した大規模な浄水場である。,台湾,台湾／台南県山上郷,,,1922年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,道庁正門前木塊舗装・銀杏並木,どうちょうせいもんまえもっかいほそう・いちょうなみき,札幌で最初に整備された近代街路で当時の道路設計を今に伝える現存最古の木塊舗装と並木であり札幌を代表する道路景観です。,北海道,北海道／札幌市北２条西４丁目,,,大正13年（1924年）・大正14年（1925年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,2,虻田発電所,あぶたはつでんしょ,洞爺湖と噴火湾の落差を利用した巧みな発電計画により、戦中から戦後にかけて、北海道の産業発展に貢献した現役利用の発電所です。,北海道,北海道／虻田郡洞爺湖町,,,昭和14年（1939年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,3,夕張川新水路,ゆうばりがわしんすいろ,石狩低平湿地を蛇行していた夕張川を直接石狩川へ合流させ、水害常襲地帯を穀倉地帯へ変貌させる礎となったショートカットです。,北海道,北海道／夕張郡長沼町，空知郡南幌町，江別市,,,昭和11年（1936年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,4,船川港第一船入場・第二船入場防波堤,ふなかわこうだいいちふないりば・だいにふないりばぼうはてい,外国貿易港へと踏み出す機能強化の中で施工された防波堤群は、間知石積み工法による大正・昭和初期の技術の面影を留める土木遺産です。,秋田県,秋田県／男鹿市,,,第一、大正3年（1914年）、第二、昭和5年（1930年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,5,疣岩円形分水工,いぼいわえんけいぶんすいこう,疣岩円形分水工は「地元民の英知と情熱を注いだ事前協議のもと、水争いを未然に防いだ円形分水工は、その水分配もまるく収めた貴重な土木遺産です。,宮城県,宮城県／刈田郡蔵王町,,,昭和6年（1931年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,6,筑波山千寺川砂防堰堤群,つくばさんせんじゅがわさぼうえんていぐん ,茨城県における最初の本格的砂防事業によるもので、石積みの趣のある渓流の景観を醸し出し、当時の土木技術を伝える貴重な構造物です。,茨城県,茨城県／つくば市,,,昭和18年（1943年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,7,荻窪用水と関連施設,おぎくぼようすいとかんれんしせつ,江戸後期に開かれ、後に童謡歌めだかの学校が生まれた市民憩いの場所で、関連施設の山懸水道、山崎発電所とともに貴重な土木遺産です。,神奈川県,神奈川県／小田原市、箱根町,,,江戸後期（1802年頃）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,8,真岡鐡道五行川橋梁・小貝川橋梁,もおかてつどうごんぎょうがわきょうりょう・こかいがわきょうりょう,現役最古のポニーワーレントラスでポーナル型99フィートピントラス。わが国の鉄道草創期の息吹を今に伝える貴重な歴史遺産です。,栃木県,栃木県／真岡市、益子町,,,明治27年（1894年）と推定、大正2年（1913年）転用,,,,,,五行川橋梁,,明治27年（1894年）と推定、大正2年（1913年）転用,小貝川橋梁,,明治27年（1894年）、大正2年（1913年）転用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,9,只川橋,ただかわはし,リベット接合による２ヒンジ鋼ブレースドリブアーチ構造の架橋で当時の芸術的な美しさを現在に残し、地域のシンボルとなっている橋です。,群馬県,甘楽郡下仁田町、富岡市,,,昭和6年（1931年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,10,大源太川第1号砂防堰堤,だいげんたがわだいいちごうさぼうえんてい,直轄砂防事業として日本で最初期に完成したアーチ式砂防堰堤で堰堤表面の石積みとアーチ構造が織り成す景観は、深緑の渓谷に美しい姿を保っています。,新潟県,新潟県／南魚沼郡湯沢町,,,昭和14年（1939年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,11,菅橋,すげばし,昭和初期の不況只中に木祖村の発展を期した村道改修事業の一部として建設された，木曽谷で初めての鉄筋コンクリート拱橋です。,長野県,長野県／木曽郡木祖村,,,昭和8年（1933年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,12,名古屋市旧第一ポンプ所と東山給水塔,なごやしきゅうだいいちぽんぷじょとひがしやまきゅうすいとう,歴史的な建造物にとどまらず名古屋市水道のシンボルとしても親しまれており、名古屋の水道の歴史を物語る貴重な土木遺産です。,愛知県,愛知県／名古屋市千種区,,,大正3年（1914年）　旧第一ポンプ所,,,,,,旧第一ポンプ所,名古屋市千種区,大正3年（1914年）,東山給水塔,名古屋市千種区,昭和5年（1930年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,13,太田橋,おおたばし,中山道の難所の一つである木曽川太田の渡し跡に架けられた単純ワーレントラス鋼橋で地域の発展を語るのに欠くことのできない存在です。,岐阜県,岐阜県／美濃加茂市,,,大正15年（1926年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,14,木曽川河跡湖（トンボ池）の聖牛,きそがわかせきこ（とんぼいけ）のひじりうし,水制工の構造や設置状況が往事の姿のまま詳細に観察でき、治水技術の理解のためには非常に貴重な土木遺産です。,岐阜県,岐阜県／羽島郡笠松町,,,大正13年～昭和13年（1924年～1938年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,15,湊川隧道,みなとがわずいどう,明治期の水路トンネルの構造や河川改修事業のあゆみを現代に伝える貴重な土木遺産です。,兵庫県,兵庫県／神戸市兵庫区～長田区,,,明治34年（1901年）（昭和3年（1928年）増築、平成14年（2002年）改修）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,16,旧奈良駅舎,きゅうならえきしゃ,和洋折衷である帝冠様式を持ち、近代の鉄道事業と市民、ひいては多くの工学分野を結ぶ象徴的な役割を担ってきたターミナル鉄道駅です。,奈良県,奈良県／奈良市,,,昭和9年（1934年）駅舎母体竣工（昭和33年（1958年）本屋の増築、平成16年（2004年）曳き屋移設）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,17,中古沢橋梁,なかこざわきょうりょう,高野山に至る50パーミルの急勾配の難所に架けられたトラス構造とトレッスル橋脚とを組み合わせた希少な形式の鉄道用鋼橋です。,和歌山県,和歌山県／伊都郡九度山町,,,昭和2年（1927年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
